
Minimum time:  60487

Test #		Time
1:		62537
2:		226804
3:		201740
4:		179994
5:		159070
6:		140496
7:		124459
8:		109904
9:		97599
10:		86800
11:		79758
12:		73104
13:		69935
14:		67592
15:		66910
16:		67549
17:		66955
18:		67516
19:		66815
20:		67324
21:		68438
22:		68920
23:		68166
24:		66016
25:		66172
26:		65901
27:		65776
28:		65929
29:		66016
30:		66812
31:		66090
32:		66315
33:		65161
34:		65493
35:		65392
36:		64966
37:		64635
38:		64680
39:		64505
40:		65016
41:		65203
42:		65013
43:		64918
44:		64798
45:		64186
46:		64357
47:		64131
48:		63028
49:		63711
50:		63257
51:		63680
52:		63988
53:		63262
54:		63146
55:		62865
56:		62831
57:		63182
58:		63109
59:		62195
60:		62028
61:		61776
62:		62169
63:		61976
64:		61682
65:		61544
66:		61636
67:		61061
68:		67192
69:		61344
70:		62026
71:		61892
72:		61444
73:		61132
74:		61472
75:		61567
76:		62114
77:		61675
78:		61529
79:		61392
80:		61751
81:		61613
82:		61320
83:		61449
84:		61390
85:		61718
86:		62067
87:		61166
88:		61701
89:		61379
90:		61946
91:		62405
92:		61151
93:		61424
94:		61708
95:		61285
96:		61838
97:		61347
98:		61475
99:		61392
100:		61679
101:		61543
102:		61317
103:		61326
104:		61598
105:		62632
106:		61943
107:		61289
108:		61400
109:		61486
110:		61443
111:		61453
112:		61456
113:		61781
114:		62224
115:		61368
116:		61565
117:		60960
118:		61774
119:		61314
120:		61215
121:		61657
122:		61138
123:		61285
124:		61698
125:		61292
126:		61474
127:		61060
128:		61632
129:		61247
130:		61646
131:		61446
132:		61170
133:		61098
134:		61381
135:		61415
136:		61970
137:		61099
138:		61292
139:		61166
140:		61333
141:		61490
142:		61084
143:		61185
144:		61012
145:		61247
146:		61877
147:		61735
148:		61988
149:		61779
150:		60658
151:		60969
152:		62173
153:		61491
154:		60557
155:		61171
156:		61440
157:		60658
158:		61402
159:		60944
160:		61389
161:		62409
162:		61606
163:		61951
164:		61919
165:		62057
166:		60887
167:		62342
168:		60659
169:		62114
170:		62429
171:		61381
172:		61477
173:		61313
174:		62353
175:		62108
176:		61801
177:		62545
178:		62222
179:		61405
180:		61372
181:		61505
182:		61914
183:		61700
184:		62184
185:		61431
186:		61441
187:		61576
188:		61459
189:		61557
190:		61377
191:		61369
192:		61591
193:		61718
194:		61990
195:		61138
196:		61751
197:		61045
198:		61332
199:		61417
200:		62015
201:		61196
202:		61891
203:		61379
204:		61705
205:		61377
206:		61438
207:		61427
208:		61545
209:		61527
210:		61652
211:		61640
212:		61517
213:		61340
214:		61820
215:		61067
216:		61190
217:		61027
218:		61972
219:		61501
220:		61818
221:		60980
222:		61320
223:		61177
224:		61811
225:		61363
226:		61230
227:		61227
228:		61486
229:		61784
230:		61631
231:		61264
232:		61450
233:		60908
234:		61189
235:		61053
236:		61672
237:		61156
238:		61718
239:		60940
240:		61527
241:		61457
242:		61293
243:		61019
244:		61709
245:		61047
246:		61281
247:		61463
248:		61442
249:		60878
250:		61280
251:		61061
252:		61479
253:		60961
254:		62044
255:		61028
256:		61629
257:		61048
258:		61265
259:		61346
260:		61201
261:		60876
262:		61401
263:		61184
264:		61390
265:		61439
266:		61196
267:		61003
268:		61501
269:		60840
270:		60858
271:		60976
272:		61368
273:		60914
274:		61494
275:		61137
276:		61399
277:		61501
278:		60978
279:		61071
280:		61775
281:		61089
282:		60964
283:		61234
284:		61032
285:		61029
286:		61373
287:		60849
288:		61174
289:		60905
290:		61203
291:		60680
292:		61471
293:		60918
294:		61257
295:		60801
296:		61307
297:		60717
298:		61053
299:		60943
300:		61588
301:		60971
302:		60925
303:		60954
304:		61530
305:		60487
306:		60853
307:		60980
308:		61298
309:		60723
310:		61483
311:		60895
312:		61095
313:		60894
314:		60764
315:		60876
316:		61186
317:		60795
318:		60809
319:		60755
320:		61303
321:		60802
322:		61200
323:		60582
324:		60763
325:		61446
326:		62007
327:		62168
328:		61602
329:		61801
330:		61797
331:		61872
332:		62209
333:		61746
334:		61758
335:		62307
336:		61363
337:		61630
338:		62739
339:		61938
340:		62038
341:		61854
342:		61757
343:		61784
344:		61613
345:		61771
346:		61844
347:		63942
348:		62311
349:		61860
350:		62308
351:		61860
352:		61363
353:		61950
354:		61793
355:		61935
356:		62095
357:		61960
358:		61885
359:		61948
360:		61616
361:		62012
362:		62685
363:		61974
364:		62298
365:		62465
366:		61691
367:		62481
368:		62050
369:		61808
370:		62191
371:		62942
372:		62529
373:		62474
374:		63721
375:		63155
376:		61834
377:		62794
378:		62121
379:		62028
380:		62738
381:		62597
382:		62185
383:		62545
384:		62696
385:		62953
386:		62609
387:		62979
388:		63460
389:		62309
390:		63478
391:		62327
392:		63695
393:		63734
394:		62359
395:		62318
396:		61730
397:		61543
398:		62009
399:		62064
400:		61449
401:		61690
402:		62656
403:		62100
404:		62666
405:		62861
406:		61912
407:		62636
408:		62337
409:		62279
410:		62590
411:		62237
